title,text,rating,author,date,company,source_type,source_platform,search_keyword,url,collected_at
환불,환불해주세요ㅜ 무료 체험인줄 알앗어요ㅠ,1,두부모모,2025-06-04T02:29:07-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영어공부 시작!,퀴즈형식으로 되어서 흥미를 유지하기 좋은 것 같아요,4,Petermt,2025-05-24T19:43:30-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
Amazing,It makes learning fun,5,alkshuehbx hdbdbdmdbd,2025-05-21T07:18:35-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
이제 시작이다,초보 운전자의 마음처럼 기대와 배우고자 자세로 기초부터 차근차근 배우려해요,5,사통팔달,2025-05-18T02:47:39-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
최고!,영어공부앱중에 최고라 정착했고 구독도 시작했어요 재밌고 유용함,5,yongchuuu,2025-05-15T17:06:49-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
좋아요,재미있는 어플이네유,5,혹15797,2025-05-14T17:33:52-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
너무 좋아요!!,꾸준히 하면 영어실력이 향상될 수 밖에 없는 어플입니다!,5,gdkxo,2025-05-12T08:27:50-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
Nice,Very nice,5,Yomdndn,2025-05-12T08:22:00-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
재밌어요,다른 앱보다 지루하지 않아요,5,속여고,2025-05-09T05:20:50-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
오류,자꾸 오류가 발생한다고 뜹니다 ㅜㅜㅜ,5,남미일주토르,2025-05-08T06:25:46-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
갑작스러운 앱 오류 반복,아이폰 16을 쓰고 있지만 어플이 불안한건지….사용을 하려고 할때 자주 오류가 떠서 잠시후 다시 이용해주세요를 무한 반복을 눌러도 안되고 짜증나네요. 무슨 문제일까요 돈을 내고 사용하는건데.,1,빅드.,2025-05-08T05:38:44-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
안녕하세요!!,케이크너무 잘 사용하다가 최근 너무 바빠져서 플러스구독도 취소하고 탈퇴까지 했는데 자꾸 결제되야한다고 문자가 오네요~ 어떻게 해야 하나요? 참고로 그때 돈 내던 통장에는 지금 돈이 안들어있는통장이라 자꾸 예금부족으로 빠져나가려해요~! 최대한 빨리 해결 부탁드릴께요!!,5,카톡왜이럼!!,2025-05-02T14:19:57-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
정말 좋은데 이런 기능 있으면 좋겠어요!!,"문장저장처럼 단어도 단어장으로 저장 복습기능이요! 
오늘의 회화에서 나오는 단어나 영상학습에서 나오는 단어를 다시 보고 복습하고 싶은데 저장기능이 따로 없어서 아쉬워요 ㅠㅠ 
그리고 path 에서 나오는 문장들도 복습하고 싶은데 학습기록이 남거나 문장을 저장할 수 있게 되면 좋겠어요!! 좋은 문장 표현이 많은데 퀴즈나 영상처럼 따로 모아볼 수가 없네요 ㅜㅜ 하나의 유닛을 통째로 다시 학습하는 수 밖에 없더라구요..
매일 두달째 잘 공부하고있습니다 감사합니다!👍🏻",5,진샘ㅁㅁ,2025-04-24T06:24:25-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
